Termid,Regd No,Course,Grade,CA_100,MTT_50,ETT_100,ETP_100,Course_Att,MHRDName,CA_1,CA_2,CA_3,CA_4,Height,Weight,ScholarType,Direction,Gender,Medium,CourseType,ProgramType
218192,1113776,KHZ28,B+,57,17,56,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),11,33,12,1,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ51,C,21,25,59,,83,Bachelor of Technology in Computer Science and Engineering (Cyber Security),20,0,0,1,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ52,A,96,,,56,89,Bachelor of Technology in Computer Science and Engineering (Cyber Security),27,6,5,58,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ53,B+,54,30,69,,67,Bachelor of Technology in Computer Science and Engineering (Cyber Security),24,18,4,8,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ54,D,64,8,42,,68,Bachelor of Technology in Computer Science and Engineering (Cyber Security),33,14,8,9,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ55,A,89,,,59,97,Bachelor of Technology in Computer Science and Engineering (Cyber Security),88,1,0,0,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ56,C,59,25,39,,80,Bachelor of Technology in Computer Science and Engineering (Cyber Security),35,15,0,9,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ57,B,50,25,65,,67,Bachelor of Technology in Computer Science and Engineering (Cyber Security),3,7,15,25,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1113776,KHZ58,C,31,22,53,,74,Bachelor of Technology in Computer Science and Engineering (Cyber Security),21,1,3,6,167,90,Day Scholar,East,Male,Hindi,Theory,UG
218192,1274776,KHZ28,A+,72,47,77,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),61,2,2,7,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ51,A,79,39,63,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),40,35,4,0,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ52,A,95,,,62,94,Bachelor of Technology in Computer Science and Engineering (Cyber Security),63,4,11,17,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ53,A,78,32,62,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),30,19,2,27,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ54,B+,67,33,73,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),46,0,6,15,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ55,A,69,,,90,86,Bachelor of Technology in Computer Science and Engineering (Cyber Security),21,32,3,13,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ56,A,75,24,65,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),69,6,0,0,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ57,A+,72,42,79,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),31,31,7,3,177,96,Hostler,South,Female,English,Theory,UG
218192,1274776,KHZ58,A,49,38,73,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),22,17,4,6,177,96,Hostler,South,Female,English,Theory,UG
218192,1275776,KHZ28,B+,68,20,51,,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),41,15,12,0,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ51,C,25,28,45,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),23,1,1,0,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ52,B,66,,,55,88,Bachelor of Technology in Computer Science and Engineering (Cyber Security),52,8,2,4,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ53,E,70,18,19,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),8,61,1,0,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ54,B,59,28,46,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),52,1,2,4,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ55,B,50,,,64,92,Bachelor of Technology in Computer Science and Engineering (Cyber Security),18,28,4,0,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ56,E,42,5,29,,91,Bachelor of Technology in Computer Science and Engineering (Cyber Security),6,12,6,18,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ57,B,45,32,52,,87,Bachelor of Technology in Computer Science and Engineering (Cyber Security),17,10,12,6,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1275776,KHZ58,C,67,23,36,,85,Bachelor of Technology in Computer Science and Engineering (Cyber Security),57,0,4,6,168,42,Hostler,East,Male,Regional,Theory,UG
218192,1316776,KHZ28,B+,50,30,72,,100,Bachelor of Technology in Computer Science and Engineering (Cyber Security),44,6,0,0,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ391,A,98,,,63,94,Bachelor of Technology in Computer Science and Engineering (Cyber Security),70,19,0,9,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ51,B+,70,29,65,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),20,7,23,20,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ52,A+,91,,,87,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),86,4,1,0,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ53,E,20,24,32,,90,Bachelor of Technology in Computer Science and Engineering (Cyber Security),17,2,0,1,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ54,B,65,20,68,,83,Bachelor of Technology in Computer Science and Engineering (Cyber Security),27,25,0,13,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ55,A,75,,,75,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),66,1,6,2,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ56,B+,69,24,53,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),12,44,0,13,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ57,A+,72,34,86,,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),68,2,2,0,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1316776,KHZ58,C,41,28,48,,83,Bachelor of Technology in Computer Science and Engineering (Cyber Security),7,14,7,13,178,98,Hostler,South,Female,Hindi,Theory,UG
218192,1320776,KHZ28,A+,68,35,77,,95,Bachelor of Technology in Computer Science and Engineering (Cyber Security),52,1,6,9,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ51,A,75,34,68,,100,Bachelor of Technology in Computer Science and Engineering (Cyber Security),56,17,2,0,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ52,A,94,,,65,93,Bachelor of Technology in Computer Science and Engineering (Cyber Security),16,47,31,0,151,51,Day Scholar,North,Male,Hindi,Theory,UG
218192,1320776,KHZ53,A,90,29,58,,97,Bachelor of Technology in Computer Science and Engineering (Cyber Security),50,16,15,9,151,51,Day Scholar,North,Male,Hindi,Theory,UG
